date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:24	27379/27379	---MCZ	200	added ('OK')	text/html	etag:W/%2212d8aefe1220645793de999caa682aa3%22	https://preview.themeforest.net/item/realdeal-responsive-real-estate-html-template/full_screen_preview/25571499?_ga=2.174299492.737151838.1580381148-180210050.1573562142	C:/Users/Samed.Khankishiev/Desktop/FINAL%20PROJECT/arenda/preview.themeforest.net/item/realdeal-responsive-real-estate-html-template/full_screen_preview/255714996007.html	(from )
15:16:25	0/0	---M--	200	added ('OK')	text/plain	etag:%225e3279ff-0%22	https://preview.themeforest.net/robots.txt		(from )
15:16:26	192814/192814	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Dec%202019%2007:54:01%20GMT	https://public-assets.envato-static.com/assets/market/core/index-9053762da6b2d4d3aa5e4cbfc07ad24a15a4547e7a4f57e03b173204e694bc0a.css	C:/Users/Samed.Khankishiev/Desktop/FINAL%20PROJECT/arenda/public-assets.envato-static.com/assets/market/core/index-9053762da6b2d4d3aa5e4cbfc07ad24a15a4547e7a4f57e03b173204e694bc0a.css	(from https://preview.themeforest.net/item/realdeal-responsive-real-estate-html-template/full_screen_preview/25571499?_ga=2.174299492.737151838.1580381148-180210050.1573562142)
15:16:26	1977/1977	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Oct%202019%2020:37:19%20GMT	https://public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	C:/Users/Samed.Khankishiev/Desktop/FINAL%20PROJECT/arenda/public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	(from https://preview.themeforest.net/item/realdeal-responsive-real-estate-html-template/full_screen_preview/25571499?_ga=2.174299492.737151838.1580381148-180210050.1573562142)
15:16:27	7256/7256	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20May%202019%2003:34:50%20GMT	https://cookiebot-assets.envato-static.com/cookiebot.css	C:/Users/Samed.Khankishiev/Desktop/FINAL%20PROJECT/arenda/cookiebot-assets.envato-static.com/cookiebot.css	(from https://preview.themeforest.net/item/realdeal-responsive-real-estate-html-template/full_screen_preview/25571499?_ga=2.174299492.737151838.1580381148-180210050.1573562142)
15:16:27	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/Users/Samed.Khankishiev/Desktop/FINAL%20PROJECT/arenda/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from https://preview.themeforest.net/item/realdeal-responsive-real-estate-html-template/full_screen_preview/25571499?_ga=2.174299492.737151838.1580381148-180210050.1573562142)
15:16:27	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/Users/Samed.Khankishiev/Desktop/FINAL%20PROJECT/arenda/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from https://preview.themeforest.net/item/realdeal-responsive-real-estate-html-template/full_screen_preview/25571499?_ga=2.174299492.737151838.1580381148-180210050.1573562142)
15:16:28	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/Users/Samed.Khankishiev/Desktop/FINAL%20PROJECT/arenda/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from https://preview.themeforest.net/item/realdeal-responsive-real-estate-html-template/full_screen_preview/25571499?_ga=2.174299492.737151838.1580381148-180210050.1573562142)
15:16:28	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/Users/Samed.Khankishiev/Desktop/FINAL%20PROJECT/arenda/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	(from https://preview.themeforest.net/item/realdeal-responsive-real-estate-html-template/full_screen_preview/25571499?_ga=2.174299492.737151838.1580381148-180210050.1573562142)
15:16:28	159202/159202	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2007%20Nov%202019%2002:59:00%20GMT	https://public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-1cc9e02a5e4e48ac2ba5b45a45c05b32584f9580c2fa432bcd2e40dd0b2a2ec2.js	C:/Users/Samed.Khankishiev/Desktop/FINAL%20PROJECT/arenda/public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-1cc9e02a5e4e48ac2ba5b45a45c05b32584f9580c2fa432bcd2e40dd0b2a2ec2.js	(from https://preview.themeforest.net/item/realdeal-responsive-real-estate-html-template/full_screen_preview/25571499?_ga=2.174299492.737151838.1580381148-180210050.1573562142)
